ASX_code, Company_name, Listing_date, GICs_industry_group, Market_CapAHY,ASALEO CARE LIMITED,Not provided,Consumer Durables & Apparel,
CCR,CREDIT CLEAR LIMITED,27/10/2020,Software & Services,138797349
MEG,MEGADO GOLD LIMITED,27/10/2020,Materials,10367500
ZBT,ZEBIT INC.,26/10/2020,Retailing,92225806
ABY,ADORE BEAUTY GROUP LIMITED,23/10/2020,Retailing,414147787
CSX,CLEANSPACE HOLDINGS LIMITED,23/10/2020,Health Care Equipment & Services,124771627
DRR,DETERRA ROYALTIES LIMITED,23/10/2020,Materials,2341087107
M2R,MIRAMAR RESOURCES LIMITED,22/10/2020,Mining/Exploration,10461419
MYD,MYDEAL.COM.AU LIMITED,22/10/2020,Retailing,166943612
ABB,AUSSIE BROADBAND LIMITED,16/10/2020,Software & Services,555792876
PAM,PAN ASIA METALS LIMITED,8/10/2020,Materials,16381337
SNG,SIREN GOLD LIMITED,7/10/2020,Materials,20536011
NZO,NEW ZEALAND OIL & GAS LIMITED,25/09/2020,Energy,65461000
NSM,NORTH STAWELL MINERALS LTD,24/09/2020,Mining/Exploration,36000000
PLT,PLENTI GROUP LIMITED,23/09/2020,Diversified Financials,228891385
ERD,EROAD LIMITED,18/09/2020,Technology Hardware & Equipment,483188406
SRJ,SRJ TECHNOLOGIES GROUP PLC,18/09/2020,Energy,24398151
SSR,SSR MINING INC.,17/09/2020,Materials,4604354223
AIM,ACCESS INNOVATION HOLDINGS LIMITED,15/09/2020,Commercial & Professional Services,178023573
MR1,MONTEM RESOURCES LIMITED.,15/09/2020,Mining/Exploration,9133695
LBY,LAYBUY GROUP HOLDINGS LIMITED,7/09/2020,Software & Services,147588077
FFF,FORBIDDEN FOODS LIMITED,31/08/2020,Food, Beverage & Tobacco,17625235
DUG,DUG TECHNOLOGY LTD,12/08/2020,Software & Services,134289284
4DX,4DMEDICAL LIMITED,7/08/2020,Health Care Equipment & Services,356335123
DDB,DYNAMIC DRILL AND BLAST HOLDINGS LIMITED,6/08/2020,Capital Goods,29299299
ASM,AUSTRALIAN STRATEGIC MATERIALS LIMITED,30/07/2020,Materials,1016998784
ARX,AROA BIOSURGERY LIMITED,24/07/2020,Pharmaceuticals, Biotechnology & Life Sciences,331183722
MKR,MANUKA RESOURCES LTD.,14/07/2020,Materials,86193188
TPG,TPG TELECOM LIMITED.,30/06/2020,Telecommunication Services,11788226181
TUA,TUAS LIMITED,30/06/2020,Telecommunication Services,306179954
AVH,AVITA MEDICAL INC.,24/06/2020,Pharmaceuticals, Biotechnology & Life Sciences,670892381
ICR,INTELICARE HOLDINGS LIMITED,25/05/2020,Health Care Equipment & Services,15306747
AL3,AML3D LIMITED,20/04/2020,Capital Goods,28587093
AT1,ATOMO DIAGNOSTICS LIMITED,16/04/2020,Health Care Equipment & Services,108033583
UMG,UNITED MALT GROUP LIMITED,24/03/2020,Food, Beverage & Tobacco,1310404611
KAU,KAISER REEF LIMITED,28/02/2020,Materials,30448202
LGP,LITTLE GREEN PHARMA LTD,20/02/2020,Pharmaceuticals, Biotechnology & Life Sciences,216325392
AND,ANSARADA GROUP LIMITED,14/02/2020,Software & Services,100243788
CST,CASTILE RESOURCES LTD,14/02/2020,Materials,45933328
EMD,EMYRIA LIMITED,12/02/2020,Health Care Equipment & Services,47006994
CBE,COBRE LIMITED,31/01/2020,Materials,25063980
COS,COSOL LIMITED,24/01/2020,Software & Services,83016168
HVM,HAPPY VALLEY NUTRITION LIMITED,23/01/2020,Food, Beverage & Tobacco,34004727
NYR,NYRADA INC.,16/01/2020,Pharmaceuticals, Biotechnology & Life Sciences,49922784
ICE,ICETANA LIMITED,23/12/2019,Software & Services,10963207
LME,LIMEADE, INC.,20/12/2019,Software & Services,182683490
GRL,GODOLPHIN RESOURCES LIMITED,18/12/2019,Materials,12616578
MCL,MIGHTY CRAFT LIMITED,17/12/2019,Food, Beverage & Tobacco,51761204
OPY,OPENPAY GROUP LTD,16/12/2019,Diversified Financials,198776048
MME,MONEYME LIMITED,12/12/2019,Diversified Financials,399455202
OLL,OPENLEARNING LIMITED,12/12/2019,Software & Services,20503121
M8S,M8 SUSTAINABLE LIMITED,11/12/2019,Commercial & Professional Services,5597516
NTO,NITRO SOFTWARE LIMITED,11/12/2019,Software & Services,635935681
TGH,TERRAGEN HOLDINGS LIMITED,11/12/2019,Materials,53427986
AMX,AEROMETREX LIMITED,10/12/2019,Commercial & Professional Services,66080000
NUC,NUCHEV LIMITED,9/12/2019,Food, Beverage & Tobacco,25872199
3DA,AMAERO INTERNATIONAL LTD,6/12/2019,Capital Goods,117030978
ECF,ELANOR COMMERCIAL PROPERTY FUND,6/12/2019,Real Estate,238126000
MIO,MACARTHUR MINERALS LIMITED,6/12/2019,Materials,61167149
TYR,TYRO PAYMENTS LIMITED,6/12/2019,Software & Services,1923281556
CBR,CARBON REVOLUTION LIMITED,29/11/2019,Automobiles & Components,235639959
KKC,KKR CREDIT INCOME FUND,21/11/2019,Investment Trust/Fund,836200000
VG8,VGI PARTNERS ASIAN INVESTMENTS LIMITED,13/11/2019,Investment Trust/Fund,540967130
CAU,CRONOS AUSTRALIA LIMITED,7/11/2019,Health Care Equipment & Services,14162500
GDC,GLOBAL DATA CENTRE GROUP,31/10/2019,Investment Trust/Fund,116143534
ITG,INTEGA GROUP LIMITED,22/10/2019,Capital Goods,250990578
DTC,DAMSTRA HOLDINGS LIMITED,16/10/2019,Software & Services,159725226
HMC,HOME CONSORTIUM,14/10/2019,Real Estate,1549247651
MHH,MAGELLAN HIGH CONVICTION TRUST,11/10/2019,Investment Trust/Fund,980822444
TMG,TRIGG MINING LTD.,3/10/2019,Materials,10076587
MAD,MADER GROUP LIMITED,1/10/2019,Commercial & Professional Services,171000000
PGG,PARTNERS GROUP GLOBAL INCOME FUND,26/09/2019,Investment Trust/Fund,504865875
OSX,OSTEOPORE LIMITED,23/09/2019,Health Care Equipment & Services,54529731
IMR,IMRICOR MEDICAL SYSTEMS, INC.,30/08/2019,Health Care Equipment & Services,252659352
